データの個数 / genre,列ラベル,,,,,,
genre,Classical,Jazz,Jump blues,Pop,Soundtrack,総計,
2012?2013,,1,,,,1,
2013?2014,,1,,,,1,
2014?2015,,,,,1,1,
2015?2016,,,,,1,1,
2016?2017,1,1,,,,2,
2017?2018,1,,,,1,2,
2018?2019,,,1,,2,3,
2019?2020,,,,,4,4,
2020?2021,1,,,,2,3,
2021?2022,,,,1,2,3,
総計,3,3,1,1,13,21, 14.29 
,,#DIV/0!,,,,Jazz, 14.29 
,,#DIV/0!,,,,Jump blues, 4.76 
,,#DIV/0!,,,,Pop, 4.76 
,,#DIV/0!,,,,Soundtrack, 61.90 
,,,,,,,
,,,,,,,
,,,,,,,
,,Soundtrack,,,,,
,,Soundtrack,,,,,
2020?2021,Avatar,Soundtrack,,,,,
2020?2021,The Lord of the Rings,Soundtrack,,,,,
2019?2020,"Piano Concerto ""Fate""  (from Castle of Sand)",Soundtrack,,,,,
2019?2020,Speedway,Soundtrack,,,,,
2019?2020,The Trial,Soundtrack,,,,,
2019?2020,Toast of the Town,Soundtrack,,,,,
2018?2019,Ry?maden,Soundtrack,,,,,
2018?2019,Kaikoku,Soundtrack,,,,,
2017?2018,The Matrix Revolutions,Soundtrack,,,,,
2015?2016,Zat?ichi,Soundtrack,,,,,
2014?2015,Zat?ichi,Soundtrack,,,,,
