データの個数 / genre,列ラベル,,,,,,,,,,
genre,Classical,Electronic,Electropop,New Age,Pop,Rock,Soundtrack,Tango,Trance music,(空白),総計
2010-2011,1,,,,,,,,,,1
2011-2012,1,,,,,,1,,,,2
2012-2013,1,,,,,,,1,,,2
2013-2014,2,,,,,,,,,,2
2014-2015,1,,,,,,1,,,,2
2015-2016,2,1,,,,,,,,,3
2016-2017,,,,,,,1,2,,,3
2017-2018,3,,,,,,,,,,3
2018-2019,2,,,,,1,,,,,3
2019-2020,,,1,1,1,,,,1,,4
2020-2021,,,1,1,1,,,,1,,4
2021-2022,2,,,,,,,,,,2
(空白),,,,,,,,,,,
総計,15,1,2,2,2,1,3,3,2,,31
,,,,,,,,,,,
,,genre,,,,,genre,uno,,,
,,Classical,15,48.38709677,,,Classical, 48.39 ,,,
,,Electronic,1,3.225806452,,,Electronic, 3.23 ,,,
,,Electropop,2,6.451612903,,,Electropop, 6.45 ,,,
,,New Age,2,6.451612903,,,New Age, 6.45 ,,,
,,Pop,2,6.451612903,,,Pop, 6.45 ,,,
,,Rock,1,3.225806452,,,Rock, 3.23 ,,,
,,Soundtrack,3,9.677419355,,,Soundtrack, 9.68 ,,,
,,Tango,3,9.677419355,,,Tango, 9.68 ,,,
,,Trance music,2,6.451612903,,,Trance music, 6.45 ,,,
,,,31,,,,,,,,
